batch,condition,n,support_recall,missing_recovery,base_answerer_EM,strong_answerer_EM,answerer_delta_EM
0,base,300.0,0.6516666666666666,0.12307692307692308,0.18666666666666668,0.64,0.45333333333333337
0,delta_p_custom_signed,300.0,0.6833333333333333,0.25384615384615383,0.19,0.6433333333333333,0.4533333333333333
0,delta_p_neg_only,300.0,0.6583333333333333,0.2076923076923077,0.2,0.6333333333333333,0.4333333333333333
0,endpoint_delta_contrastive_raw_C,300.0,0.62,0.13846153846153847,0.18666666666666668,0.6533333333333333,0.4666666666666667
0,endpoint_delta_custom_signed,300.0,0.6516666666666666,0.16153846153846155,0.19333333333333333,0.6466666666666666,0.45333333333333325
0,endpoint_delta_neg_only,300.0,0.6516666666666666,0.18461538461538463,0.20666666666666667,0.66,0.45333333333333337
1,base,300.0,0.6416666666666667,0.023076923076923078,0.21,0.63,0.42000000000000004
1,delta_p_custom_signed,300.0,0.7116666666666667,0.16923076923076924,0.2,0.64,0.44
1,delta_p_neg_only,300.0,0.6366666666666667,0.16923076923076924,0.2,0.64,0.44
1,endpoint_delta_contrastive_raw_C,300.0,0.6466666666666666,0.12307692307692308,0.17333333333333334,0.64,0.4666666666666667
1,endpoint_delta_custom_signed,300.0,0.695,0.1076923076923077,0.18666666666666668,0.6433333333333333,0.45666666666666667
1,endpoint_delta_neg_only,300.0,0.67,0.2,0.20333333333333334,0.6366666666666667,0.43333333333333335
2,base,300.0,0.6416666666666667,0.1076923076923077,0.20333333333333334,0.6333333333333333,0.42999999999999994
2,delta_p_custom_signed,300.0,0.6366666666666667,0.24615384615384617,0.18666666666666668,0.6533333333333333,0.4666666666666667
2,delta_p_neg_only,300.0,0.66,0.16923076923076924,0.19333333333333333,0.65,0.45666666666666667
2,endpoint_delta_contrastive_raw_C,300.0,0.6633333333333333,0.18461538461538463,0.2,0.6333333333333333,0.4333333333333333
2,endpoint_delta_custom_signed,300.0,0.6366666666666667,0.16153846153846155,0.19,0.6566666666666666,0.4666666666666666
2,endpoint_delta_neg_only,300.0,0.6066666666666667,0.19696969696969696,0.20666666666666667,0.6333333333333333,0.42666666666666664
