scope,batch_id,condition,n,MR,support,base_EM,strong_EM,W_to_R_count,R_to_W_count,net_count,flip_rate
batch0,0,base,10.0,0.0,0.7,0.2,0.5,3.0,0.0,3.0,0.3
batch0,0,delta_p_contrastive_raw_C,10.0,0.0,0.7,0.2,0.5,3.0,0.0,3.0,0.3
batch0,0,delta_p_custom_preserve,10.0,0.16666666666666666,0.7,0.1,0.5,4.0,0.0,4.0,0.4
batch0,0,delta_p_custom_signed,10.0,0.0,0.7,0.2,0.4,2.0,0.0,2.0,0.2
batch0,0,delta_p_neg_only,10.0,0.0,0.7,0.1,0.6,5.0,0.0,5.0,0.5
batch0,0,endpoint_delta_contrastive_raw_C,10.0,0.16666666666666666,0.7,0.1,0.4,3.0,0.0,3.0,0.3
batch0,0,endpoint_delta_custom_preserve,10.0,0.3333333333333333,0.7,0.1,0.5,4.0,0.0,4.0,0.4
batch0,0,endpoint_delta_custom_signed,10.0,0.3333333333333333,0.7,0.2,0.5,3.0,0.0,3.0,0.3
batch0,0,endpoint_delta_neg_only,10.0,0.16666666666666666,0.7,0.2,0.5,3.0,0.0,3.0,0.3
batch1,1,base,9.0,0.0,0.7222222222222222,0.0,0.3333333333333333,3.0,0.0,3.0,0.3333333333333333
batch1,1,delta_p_contrastive_raw_C,10.0,0.3333333333333333,0.7,0.0,0.4,4.0,0.0,4.0,0.4
batch1,1,delta_p_custom_preserve,10.0,0.16666666666666666,0.7,0.0,0.5,5.0,0.0,5.0,0.5
batch1,1,delta_p_custom_signed,10.0,0.16666666666666666,0.7,0.0,0.4,4.0,0.0,4.0,0.4
batch1,1,delta_p_neg_only,10.0,0.16666666666666666,0.7,0.0,0.4,4.0,0.0,4.0,0.4
batch1,1,endpoint_delta_contrastive_raw_C,10.0,0.3333333333333333,0.7,0.0,0.4,4.0,0.0,4.0,0.4
batch1,1,endpoint_delta_custom_preserve,10.0,0.3333333333333333,0.7,0.1,0.5,4.0,0.0,4.0,0.4
batch1,1,endpoint_delta_custom_signed,10.0,0.16666666666666666,0.7,0.1,0.6,5.0,0.0,5.0,0.5
batch1,1,endpoint_delta_neg_only,10.0,0.3333333333333333,0.7,0.0,0.5,5.0,0.0,5.0,0.5
batch2,2,base,10.0,0.0,0.6,0.1,0.3,2.0,0.0,2.0,0.2
batch2,2,delta_p_contrastive_raw_C,9.0,0.0,0.5555555555555556,0.1111111111111111,0.3333333333333333,2.0,0.0,2.0,0.2222222222222222
batch2,2,delta_p_custom_preserve,10.0,0.16666666666666666,0.6,0.1,0.3,2.0,0.0,2.0,0.2
batch2,2,delta_p_custom_signed,10.0,0.16666666666666666,0.6,0.1,0.4,3.0,0.0,3.0,0.3
batch2,2,delta_p_neg_only,10.0,0.0,0.6,0.1,0.3,2.0,0.0,2.0,0.2
batch2,2,endpoint_delta_contrastive_raw_C,9.0,0.0,0.6666666666666666,0.1111111111111111,0.4444444444444444,3.0,0.0,3.0,0.3333333333333333
batch2,2,endpoint_delta_custom_preserve,8.0,0.125,0.625,0.125,0.375,2.0,0.0,2.0,0.25
batch2,2,endpoint_delta_custom_signed,10.0,0.16666666666666666,0.6,0.1,0.5,4.0,0.0,4.0,0.4
batch2,2,endpoint_delta_neg_only,8.0,0.2,0.625,0.125,0.625,4.0,0.0,4.0,0.5
full143,0,base,142.0,0.09375,0.7535211267605634,0.14788732394366197,0.45774647887323944,44.0,0.0,44.0,0.30985915492957744
full143,0,delta_p_contrastive_raw_C,143.0,0.18461538461538463,0.7517482517482518,0.1258741258741259,0.46853146853146854,50.0,1.0,49.0,0.35664335664335667
full143,0,delta_p_custom_preserve,143.0,0.2,0.7517482517482518,0.1888111888111888,0.4965034965034965,44.0,0.0,44.0,0.3076923076923077
full143,0,delta_p_custom_signed,143.0,0.15384615384615385,0.7517482517482518,0.1888111888111888,0.4825174825174825,42.0,0.0,42.0,0.2937062937062937
full143,0,delta_p_neg_only,142.0,0.1953125,0.7535211267605634,0.14084507042253522,0.5,51.0,0.0,51.0,0.3591549295774648
full143,0,endpoint_delta_contrastive_raw_C,142.0,0.1171875,0.7535211267605634,0.176056338028169,0.5,46.0,0.0,46.0,0.323943661971831
full143,0,endpoint_delta_custom_preserve,141.0,0.2890625,0.75177304964539,0.16312056737588654,0.49645390070921985,47.0,0.0,47.0,0.3333333333333333
full143,0,endpoint_delta_custom_signed,143.0,0.19230769230769232,0.7517482517482518,0.1258741258741259,0.48951048951048953,52.0,0.0,52.0,0.36363636363636365
full143,0,endpoint_delta_neg_only,143.0,0.26153846153846155,0.7517482517482518,0.13286713286713286,0.46853146853146854,48.0,0.0,48.0,0.3356643356643357
full143,1,base,141.0,0.0234375,0.75177304964539,0.15602836879432624,0.475177304964539,45.0,0.0,45.0,0.3191489361702128
full143,1,delta_p_contrastive_raw_C,143.0,0.17692307692307693,0.7517482517482518,0.16783216783216784,0.46153846153846156,42.0,0.0,42.0,0.2937062937062937
full143,1,delta_p_custom_preserve,142.0,0.1953125,0.7535211267605634,0.1619718309859155,0.4647887323943662,44.0,1.0,43.0,0.31690140845070425
full143,1,delta_p_custom_signed,143.0,0.16923076923076924,0.7517482517482518,0.14685314685314685,0.4825174825174825,48.0,0.0,48.0,0.3356643356643357
full143,1,delta_p_neg_only,143.0,0.16923076923076924,0.7517482517482518,0.14685314685314685,0.4825174825174825,49.0,1.0,48.0,0.34965034965034963
full143,1,endpoint_delta_contrastive_raw_C,142.0,0.125,0.7535211267605634,0.13380281690140844,0.4859154929577465,50.0,0.0,50.0,0.352112676056338
full143,1,endpoint_delta_custom_preserve,143.0,0.13846153846153847,0.7517482517482518,0.13286713286713286,0.48951048951048953,52.0,1.0,51.0,0.3706293706293706
full143,1,endpoint_delta_custom_signed,143.0,0.1076923076923077,0.7517482517482518,0.14685314685314685,0.4755244755244755,47.0,0.0,47.0,0.32867132867132864
full143,1,endpoint_delta_neg_only,143.0,0.2,0.7517482517482518,0.16783216783216784,0.4755244755244755,44.0,0.0,44.0,0.3076923076923077
full143,2,base,141.0,0.09375,0.75177304964539,0.15602836879432624,0.46099290780141844,43.0,0.0,43.0,0.3049645390070922
full143,2,delta_p_contrastive_raw_C,142.0,0.2109375,0.7535211267605634,0.15492957746478872,0.4859154929577465,47.0,0.0,47.0,0.33098591549295775
full143,2,delta_p_custom_preserve,74.0,0.15,0.8581081081081081,0.32432432432432434,0.7297297297297297,31.0,1.0,30.0,0.43243243243243246
full143,2,delta_p_custom_signed,142.0,0.25,0.7535211267605634,0.14788732394366197,0.5211267605633803,53.0,0.0,53.0,0.3732394366197183
full143,2,delta_p_neg_only,143.0,0.16923076923076924,0.7517482517482518,0.1048951048951049,0.4965034965034965,56.0,0.0,56.0,0.3916083916083916
full143,2,endpoint_delta_contrastive_raw_C,141.0,0.19047619047619047,0.7553191489361702,0.16312056737588654,0.46808510638297873,43.0,0.0,43.0,0.3049645390070922
full143,2,endpoint_delta_custom_preserve,139.0,0.16666666666666666,0.7517985611510791,0.1366906474820144,0.4892086330935252,49.0,0.0,49.0,0.35251798561151076
full143,2,endpoint_delta_custom_signed,143.0,0.16153846153846155,0.7517482517482518,0.13986013986013987,0.4965034965034965,52.0,1.0,51.0,0.3706293706293706
full143,2,endpoint_delta_neg_only,143.0,0.2,0.7517482517482518,0.17482517482517482,0.4755244755244755,43.0,0.0,43.0,0.3006993006993007
