scope,condition,batches,n_mean,MR,support,base_EM,strong_EM,W_to_R,R_to_W,net,flip_rate
batch0,base,1,10.0,0.0,0.7,0.2,0.5,3.0,0.0,3.0,0.3
batch0,delta_p_contrastive_raw_C,1,10.0,0.0,0.7,0.2,0.5,3.0,0.0,3.0,0.3
batch0,delta_p_custom_preserve,1,10.0,0.16666666666666666,0.7,0.1,0.5,4.0,0.0,4.0,0.4
batch0,delta_p_custom_signed,1,10.0,0.0,0.7,0.2,0.4,2.0,0.0,2.0,0.2
batch0,delta_p_neg_only,1,10.0,0.0,0.7,0.1,0.6,5.0,0.0,5.0,0.5
batch0,endpoint_delta_contrastive_raw_C,1,10.0,0.16666666666666666,0.7,0.1,0.4,3.0,0.0,3.0,0.3
batch0,endpoint_delta_custom_preserve,1,10.0,0.3333333333333333,0.7,0.1,0.5,4.0,0.0,4.0,0.4
batch0,endpoint_delta_custom_signed,1,10.0,0.3333333333333333,0.7,0.2,0.5,3.0,0.0,3.0,0.3
batch0,endpoint_delta_neg_only,1,10.0,0.16666666666666666,0.7,0.2,0.5,3.0,0.0,3.0,0.3
batch1,base,1,9.0,0.0,0.7222222222222222,0.0,0.3333333333333333,3.0,0.0,3.0,0.3333333333333333
batch1,delta_p_contrastive_raw_C,1,10.0,0.3333333333333333,0.7,0.0,0.4,4.0,0.0,4.0,0.4
batch1,delta_p_custom_preserve,1,10.0,0.16666666666666666,0.7,0.0,0.5,5.0,0.0,5.0,0.5
batch1,delta_p_custom_signed,1,10.0,0.16666666666666666,0.7,0.0,0.4,4.0,0.0,4.0,0.4
batch1,delta_p_neg_only,1,10.0,0.16666666666666666,0.7,0.0,0.4,4.0,0.0,4.0,0.4
batch1,endpoint_delta_contrastive_raw_C,1,10.0,0.3333333333333333,0.7,0.0,0.4,4.0,0.0,4.0,0.4
batch1,endpoint_delta_custom_preserve,1,10.0,0.3333333333333333,0.7,0.1,0.5,4.0,0.0,4.0,0.4
batch1,endpoint_delta_custom_signed,1,10.0,0.16666666666666666,0.7,0.1,0.6,5.0,0.0,5.0,0.5
batch1,endpoint_delta_neg_only,1,10.0,0.3333333333333333,0.7,0.0,0.5,5.0,0.0,5.0,0.5
batch2,base,1,10.0,0.0,0.6,0.1,0.3,2.0,0.0,2.0,0.2
batch2,delta_p_contrastive_raw_C,1,9.0,0.0,0.5555555555555556,0.1111111111111111,0.3333333333333333,2.0,0.0,2.0,0.2222222222222222
batch2,delta_p_custom_preserve,1,10.0,0.16666666666666666,0.6,0.1,0.3,2.0,0.0,2.0,0.2
batch2,delta_p_custom_signed,1,10.0,0.16666666666666666,0.6,0.1,0.4,3.0,0.0,3.0,0.3
batch2,delta_p_neg_only,1,10.0,0.0,0.6,0.1,0.3,2.0,0.0,2.0,0.2
batch2,endpoint_delta_contrastive_raw_C,1,9.0,0.0,0.6666666666666666,0.1111111111111111,0.4444444444444444,3.0,0.0,3.0,0.3333333333333333
batch2,endpoint_delta_custom_preserve,1,8.0,0.125,0.625,0.125,0.375,2.0,0.0,2.0,0.25
batch2,endpoint_delta_custom_signed,1,10.0,0.16666666666666666,0.6,0.1,0.5,4.0,0.0,4.0,0.4
batch2,endpoint_delta_neg_only,1,8.0,0.2,0.625,0.125,0.625,4.0,0.0,4.0,0.5
full143,base,3,141.33333333333334,0.0703125,0.7523557420171145,0.15331468717743815,0.46463889721306567,44.0,0.0,44.0,0.3113242100356275
full143,delta_p_contrastive_raw_C,3,142.66666666666666,0.19082532051282053,0.7523392100856889,0.14954529039036082,0.4719951410092255,46.333333333333336,0.3333333333333333,46.0,0.3271118552808694
full143,delta_p_custom_preserve,3,119.66666666666667,0.18177083333333333,0.7877924955389745,0.22503578137380953,0.5636739862091975,39.666666666666664,0.6666666666666666,39.0,0.35234204952514814
full143,delta_p_custom_signed,3,142.66666666666666,0.191025641025641,0.7523392100856889,0.16118388653599922,0.4953872418661151,47.666666666666664,0.0,47.666666666666664,0.33420335533011586
full143,delta_p_neg_only,3,142.66666666666666,0.1779246794871795,0.7523392100856889,0.13086444072359565,0.49300699300699297,52.0,0.3333333333333333,51.666666666666664,0.366804556945402
full143,endpoint_delta_contrastive_raw_C,3,141.66666666666666,0.14422123015873015,0.7541204674857657,0.15765990743515465,0.48466686644690843,46.333333333333336,0.0,46.333333333333336,0.32700695901175375
full143,endpoint_delta_custom_preserve,3,141.0,0.1980635683760684,0.751773287514907,0.14422611590834458,0.4917243411044115,49.333333333333336,0.3333333333333333,49.0,0.35216022985807155
full143,endpoint_delta_custom_signed,3,143.0,0.15384615384615385,0.7517482517482518,0.13752913752913754,0.4871794871794872,50.333333333333336,0.3333333333333333,50.0,0.3543123543123543
full143,endpoint_delta_neg_only,3,143.0,0.22051282051282053,0.7517482517482518,0.1585081585081585,0.4731934731934732,45.0,0.0,45.0,0.3146853146853147
