condition,bucket,n,base_acc,strong_acc,W2R_rate,R2W_rate,net_rate
base,C_clean,210.0,0.3,0.9380952380952381,0.638095238095238,0.0,0.638095238095238
base,C_fragile,45.0,0.3333333333333333,0.9333333333333333,0.6222222222222222,0.022222222222222223,0.6
base,W_other,90.0,0.044444444444444446,0.1111111111111111,0.07777777777777778,0.011111111111111112,0.06666666666666667
base,W_retrieval,84.0,0.023809523809523808,0.07142857142857142,0.047619047619047616,0.0,0.047619047619047616
delta_p_custom_preserve,C_clean,210.0,0.2904761904761905,0.9333333333333333,0.6428571428571429,0.0,0.6428571428571429
delta_p_custom_preserve,C_fragile,45.0,0.35555555555555557,0.9777777777777777,0.6222222222222222,0.0,0.6222222222222222
delta_p_custom_preserve,W_other,90.0,0.011111111111111112,0.06666666666666667,0.06666666666666667,0.011111111111111112,0.05555555555555555
delta_p_custom_preserve,W_retrieval,84.0,0.07142857142857142,0.09523809523809523,0.023809523809523808,0.0,0.023809523809523808
delta_p_custom_signed,C_clean,210.0,0.3047619047619048,0.9380952380952381,0.6333333333333333,0.0,0.6333333333333333
delta_p_custom_signed,C_fragile,45.0,0.37777777777777777,0.8888888888888888,0.5111111111111111,0.0,0.5111111111111111
delta_p_custom_signed,W_other,90.0,0.0,0.1,0.1,0.0,0.1
delta_p_custom_signed,W_retrieval,84.0,0.03571428571428571,0.09523809523809523,0.05952380952380952,0.0,0.05952380952380952
delta_p_neg_only,C_clean,210.0,0.24761904761904763,0.9285714285714286,0.6904761904761905,0.009523809523809525,0.680952380952381
delta_p_neg_only,C_fragile,45.0,0.37777777777777777,0.9555555555555556,0.5777777777777777,0.0,0.5777777777777777
delta_p_neg_only,W_other,90.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667
delta_p_neg_only,W_retrieval,84.0,0.047619047619047616,0.09523809523809523,0.047619047619047616,0.0,0.047619047619047616
endpoint_delta_custom_preserve,C_clean,210.0,0.34285714285714286,0.9428571428571428,0.6,0.0,0.6
endpoint_delta_custom_preserve,C_fragile,45.0,0.4444444444444444,0.8666666666666667,0.4444444444444444,0.022222222222222223,0.4222222222222222
endpoint_delta_custom_preserve,W_other,90.0,0.011111111111111112,0.1111111111111111,0.1,0.0,0.1
endpoint_delta_custom_preserve,W_retrieval,84.0,0.05952380952380952,0.09523809523809523,0.047619047619047616,0.011904761904761904,0.03571428571428571
endpoint_delta_custom_signed,C_clean,210.0,0.30952380952380953,0.9142857142857143,0.6190476190476191,0.014285714285714285,0.6047619047619048
endpoint_delta_custom_signed,C_fragile,45.0,0.35555555555555557,0.9111111111111111,0.5777777777777777,0.022222222222222223,0.5555555555555555
endpoint_delta_custom_signed,W_other,90.0,0.022222222222222223,0.13333333333333333,0.1111111111111111,0.0,0.1111111111111111
endpoint_delta_custom_signed,W_retrieval,84.0,0.047619047619047616,0.10714285714285714,0.05952380952380952,0.0,0.05952380952380952
endpoint_delta_neg_only,C_clean,210.0,0.30952380952380953,0.919047619047619,0.6095238095238096,0.0,0.6095238095238096
endpoint_delta_neg_only,C_fragile,45.0,0.35555555555555557,0.8666666666666667,0.5333333333333333,0.022222222222222223,0.5111111111111111
endpoint_delta_neg_only,W_other,90.0,0.011111111111111112,0.14444444444444443,0.13333333333333333,0.0,0.13333333333333333
endpoint_delta_neg_only,W_retrieval,84.0,0.05952380952380952,0.07142857142857142,0.011904761904761904,0.0,0.011904761904761904
