scope,batch,condition,n,MR,support,base_EM,strong_EM,delta_EM,W_to_R,R_to_W,net,gain_freq,loss_freq,net_freq,flip_rate
batch0,0,base,10.0,0.2857142857142857,,0.2,0.5,0.3,3.0,0.0,3.0,0.3,0.0,0.3,0.3
batch0,0,delta_p_custom_preserve,10.0,0.35714285714285715,,0.1,0.4,0.30000000000000004,3.0,0.0,3.0,0.3,0.0,0.3,0.3
batch0,0,delta_p_custom_signed,10.0,0.5714285714285714,,0.2,0.4,0.2,2.0,0.0,2.0,0.2,0.0,0.2,0.2
batch0,0,delta_p_neg_only,10.0,0.2857142857142857,,0.2,0.5,0.3,3.0,0.0,3.0,0.3,0.0,0.3,0.3
batch0,0,endpoint_delta_custom_preserve,10.0,0.42857142857142855,,0.2,0.4,0.2,2.0,0.0,2.0,0.2,0.0,0.2,0.2
batch0,0,endpoint_delta_custom_signed,10.0,0.2857142857142857,,0.2,0.5,0.3,3.0,0.0,3.0,0.3,0.0,0.3,0.3
batch0,0,endpoint_delta_neg_only,10.0,0.42857142857142855,,0.2,0.5,0.3,3.0,0.0,3.0,0.3,0.0,0.3,0.3
batch1,1,base,10.0,0.3333333333333333,,0.0,0.4,0.4,4.0,0.0,4.0,0.4,0.0,0.4,0.4
batch1,1,delta_p_custom_preserve,10.0,0.3888888888888889,,0.0,0.4,0.4,4.0,0.0,4.0,0.4,0.0,0.4,0.4
batch1,1,delta_p_custom_signed,10.0,0.5,,0.0,0.4,0.4,4.0,0.0,4.0,0.4,0.0,0.4,0.4
batch1,1,delta_p_neg_only,10.0,0.6111111111111112,,0.1,0.4,0.30000000000000004,3.0,0.0,3.0,0.3,0.0,0.3,0.3
batch1,1,endpoint_delta_custom_preserve,10.0,0.3333333333333333,,0.2,0.5,0.3,3.0,0.0,3.0,0.3,0.0,0.3,0.3
batch1,1,endpoint_delta_custom_signed,10.0,0.3333333333333333,,0.2,0.5,0.3,3.0,0.0,3.0,0.3,0.0,0.3,0.3
batch1,1,endpoint_delta_neg_only,10.0,0.4444444444444444,,0.0,0.4,0.4,4.0,0.0,4.0,0.4,0.0,0.4,0.4
batch2,2,base,10.0,0.4444444444444444,,0.0,0.3,0.3,3.0,0.0,3.0,0.3,0.0,0.3,0.3
batch2,2,delta_p_custom_preserve,10.0,0.4444444444444444,,0.0,0.4,0.4,4.0,0.0,4.0,0.4,0.0,0.4,0.4
batch2,2,delta_p_custom_signed,10.0,0.5555555555555556,,0.0,0.4,0.4,4.0,0.0,4.0,0.4,0.0,0.4,0.4
batch2,2,delta_p_neg_only,10.0,0.4444444444444444,,0.1,0.3,0.19999999999999998,3.0,1.0,2.0,0.3,0.1,0.19999999999999998,0.4
batch2,2,endpoint_delta_custom_preserve,10.0,0.5555555555555556,,0.0,0.5,0.5,5.0,0.0,5.0,0.5,0.0,0.5,0.5
batch2,2,endpoint_delta_custom_signed,10.0,0.4444444444444444,,0.1,0.4,0.30000000000000004,3.0,0.0,3.0,0.3,0.0,0.3,0.3
batch2,2,endpoint_delta_neg_only,10.0,0.4444444444444444,,0.1,0.4,0.30000000000000004,3.0,0.0,3.0,0.3,0.0,0.3,0.3
full143,0,base,143.0,0.5168539325842697,,0.20279720279720279,0.5524475524475524,0.3496503496503496,51.0,1.0,50.0,0.35664335664335667,0.006993006993006993,0.3496503496503497,0.36363636363636365
full143,0,delta_p_custom_preserve,143.0,0.5224719101123596,,0.21678321678321677,0.5874125874125874,0.3706293706293706,53.0,0.0,53.0,0.3706293706293706,0.0,0.3706293706293706,0.3706293706293706
full143,0,delta_p_custom_signed,143.0,0.5617977528089888,,0.18181818181818182,0.5944055944055944,0.41258741258741255,59.0,0.0,59.0,0.4125874125874126,0.0,0.4125874125874126,0.4125874125874126
full143,0,delta_p_neg_only,143.0,0.5842696629213483,,0.1958041958041958,0.5874125874125874,0.39160839160839156,56.0,0.0,56.0,0.3916083916083916,0.0,0.3916083916083916,0.3916083916083916
full143,0,endpoint_delta_custom_preserve,143.0,0.5337078651685393,,0.22377622377622378,0.6083916083916084,0.3846153846153847,55.0,0.0,55.0,0.38461538461538464,0.0,0.38461538461538464,0.38461538461538464
full143,0,endpoint_delta_custom_signed,143.0,0.5,,0.18181818181818182,0.6013986013986014,0.41958041958041953,61.0,1.0,60.0,0.42657342657342656,0.006993006993006993,0.4195804195804196,0.43356643356643354
full143,0,endpoint_delta_neg_only,143.0,0.5,,0.20279720279720279,0.5944055944055944,0.39160839160839156,57.0,1.0,56.0,0.3986013986013986,0.006993006993006993,0.3916083916083916,0.40559440559440557
full143,1,base,143.0,0.5056179775280899,,0.1958041958041958,0.6153846153846154,0.4195804195804196,60.0,0.0,60.0,0.4195804195804196,0.0,0.4195804195804196,0.4195804195804196
full143,1,delta_p_custom_preserve,143.0,0.5,,0.20279720279720279,0.5874125874125874,0.3846153846153846,56.0,1.0,55.0,0.3916083916083916,0.006993006993006993,0.38461538461538464,0.3986013986013986
full143,1,delta_p_custom_signed,143.0,0.47752808988764045,,0.18181818181818182,0.5734265734265734,0.3916083916083916,56.0,0.0,56.0,0.3916083916083916,0.0,0.3916083916083916,0.3916083916083916
full143,1,delta_p_neg_only,143.0,0.5280898876404494,,0.13286713286713286,0.5804195804195804,0.44755244755244755,66.0,2.0,64.0,0.46153846153846156,0.013986013986013986,0.44755244755244755,0.4755244755244755
full143,1,endpoint_delta_custom_preserve,143.0,0.5561797752808989,,0.23076923076923078,0.5804195804195804,0.34965034965034963,52.0,2.0,50.0,0.36363636363636365,0.013986013986013986,0.34965034965034963,0.3776223776223776
full143,1,endpoint_delta_custom_signed,143.0,0.550561797752809,,0.23076923076923078,0.5804195804195804,0.34965034965034963,53.0,3.0,50.0,0.3706293706293706,0.02097902097902098,0.34965034965034963,0.3916083916083916
full143,1,endpoint_delta_neg_only,143.0,0.5449438202247191,,0.2097902097902098,0.5874125874125874,0.3776223776223776,54.0,0.0,54.0,0.3776223776223776,0.0,0.3776223776223776,0.3776223776223776
full143,2,base,143.0,0.5393258426966292,,0.1888111888111888,0.6153846153846154,0.4265734265734266,62.0,1.0,61.0,0.43356643356643354,0.006993006993006993,0.42657342657342656,0.4405594405594406
full143,2,delta_p_custom_preserve,143.0,0.5,,0.16783216783216784,0.6013986013986014,0.43356643356643354,62.0,0.0,62.0,0.43356643356643354,0.0,0.43356643356643354,0.43356643356643354
full143,2,delta_p_custom_signed,143.0,0.5786516853932584,,0.22377622377622378,0.6083916083916084,0.3846153846153847,55.0,0.0,55.0,0.38461538461538464,0.0,0.38461538461538464,0.38461538461538464
full143,2,delta_p_neg_only,143.0,0.5617977528089888,,0.18181818181818182,0.5944055944055944,0.41258741258741255,59.0,0.0,59.0,0.4125874125874126,0.0,0.4125874125874126,0.4125874125874126
full143,2,endpoint_delta_custom_preserve,143.0,0.5224719101123596,,0.23076923076923078,0.5944055944055944,0.3636363636363636,52.0,0.0,52.0,0.36363636363636365,0.0,0.36363636363636365,0.36363636363636365
full143,2,endpoint_delta_custom_signed,143.0,0.5337078651685393,,0.1958041958041958,0.5944055944055944,0.39860139860139854,57.0,0.0,57.0,0.3986013986013986,0.0,0.3986013986013986,0.3986013986013986
full143,2,endpoint_delta_neg_only,143.0,0.5,,0.1958041958041958,0.5734265734265734,0.3776223776223776,54.0,0.0,54.0,0.3776223776223776,0.0,0.3776223776223776,0.3776223776223776
